source,level,rank,russian,translations,detail_path,page_url
openrussian,B1,82,реши́ть,decide; solve,/ru/%D1%80%D0%B5%D1%88%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,83,получи́ть,receive; access,/ru/%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B8'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,84,Москва́,Moscow; Moskva River,/ru/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0',https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,85,писа́ть,to write; to paint,/ru/%D0%BF%D0%B8%D1%81%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,86,пи́сать,to pee,/ru/%D0%BF%D0%B8'%D1%81%D0%B0%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,87,верну́ться,to return; to revert (to),/ru/%D0%B2%D0%B5%D1%80%D0%BD%D1%83'%D1%82%D1%8C%D1%81%D1%8F,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,88,вообще́,"in general; altogether; at all; actually (in fact, honestly)",/ru/%D0%B2%D0%BE%D0%BE%D0%B1%D1%89%D0%B5',https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,89,не́который,some,/ru/%D0%BD%D0%B5'%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D1%8B%D0%B9,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,90,счита́ть,consider; count,/ru/%D1%81%D1%87%D0%B8%D1%82%D0%B0'%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,91,у́тро,morning,/ru/%D1%83'%D1%82%D1%80%D0%BE,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,92,сове́тский,Soviet,/ru/%D1%81%D0%BE%D0%B2%D0%B5'%D1%82%D1%81%D0%BA%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,93,ве́чер,evening,/ru/%D0%B2%D0%B5'%D1%87%D0%B5%D1%80,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,94,душа́,soul,/ru/%D0%B4%D1%83%D1%88%D0%B0',https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,95,кни́га,book,/ru/%D0%BA%D0%BD%D0%B8'%D0%B3%D0%B0,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,96,плечо́,shoulder,/ru/%D0%BF%D0%BB%D0%B5%D1%87%D0%BE',https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,97,вме́сте,together,/ru/%D0%B2%D0%BC%D0%B5'%D1%81%D1%82%D0%B5,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,98,таки́,so yes; still,/ru/%D1%82%D0%B0%D0%BA%D0%B8',https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,99,чуть,nearly; a little; hardly; (with не) almost,/ru/%D1%87%D1%83%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,100,пол,floor; sex; half,/ru/%D0%BF%D0%BE%D0%BB,https://en.openrussian.org/vocab/B1?start=50
openrussian,B1,101,наро́д,people,/ru/%D0%BD%D0%B0%D1%80%D0%BE'%D0%B4,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,102,хоть,at least; although,/ru/%D1%85%D0%BE%D1%82%D1%8C,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,103,взгляд,look; glance; view,/ru/%D0%B2%D0%B7%D0%B3%D0%BB%D1%8F%D0%B4,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,104,ру́сский,Russian,/ru/%D1%80%D1%83'%D1%81%D1%81%D0%BA%D0%B8%D0%B9,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,105,заче́м,"For what purpose?"" or ""What for? also Why?",/ru/%D0%B7%D0%B0%D1%87%D0%B5'%D0%BC,https://en.openrussian.org/vocab/B1?start=100
openrussian,B1,106,исто́рия,history; affair,/ru/%D0%B8%D1%81%D1%82%D0%BE'%D1%80%D0%B8%D1%8F,https://en.openrussian.org/vocab/B1?start=100
